Art,Name,Type,Archetype,Rarity,Requirements,Ammo,Element,Tier,Excels,Source,Craftable?,Requires,Released,Slot,Ammo?,Element?,Can be Crafted?,Best of?,Rank
,Crimil's Dagger,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,A > Strong,PvP,Iron Banner, No, Free-to-Play,Season 11,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Crimson,Hand Cannon,Exotic,Exotic,Free-to-Play, Primary, Kinetic,B > Average,PvP,Exotic Engram, No, Free-to-Play,Season 2,Kinetic,Primary,Kinetic,No,,B › Average
,Crisis Inverted,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Arc,C > Weak,-,Playlist: Crucible, No, Free-to-Play,Season 16,Energy,Primary,Arc,No,,C › Weak
,Critical Anomaly,Sniper Rifle,Aggressive,Legendary,The Final Shape, Special, Stasis,S > Best,PvE + PvP,Salvation's Edge Raid, Yes, The Final Shape,The Final Shape,Kinetic,Special,Stasis,Craftable,Top-tier,S › Best
,Crowd Pleaser,Grenade Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,Playlist: Gambit, No, Free-to-Play,Season 12,Heavy,Heavy,Void,No,,C › Weak
,Crown-Splitter,Sword,Aggressive,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,World loot pool, No, Free-to-Play,Season 14,Heavy,Heavy,Void,No,,C › Weak
,Crowning Duologue,Rocket Launcher,Precision,Legendary,Free-to-Play, Heavy, Strand,A > Strong,PvE + PvP,Event: Solstice, No, Free-to-Play,Season 21,Heavy,Heavy,Strand,No,Top-tier,A › Strong
,Cruel Mercy,Pulse Rifle,Heavy Burst,Legendary,Free-to-Play, Primary, Arc,A > Strong,PvE + PvP,Nightfall: The Ordeals, No, Free-to-Play,Episode 3,Energy,Primary,Arc,No,Top-tier,A › Strong
,Cruoris FR4,Fusion Rifle,Aggressive,Legendary,Free-to-Play, Special, Arc,A > Strong,PvE,World loot pool, No, Free-to-Play,Episode 3,Energy,Special,Arc,No,Top-tier,A › Strong
,Crux Termination IV,Rocket Launcher,Aggressive,Legendary,Free-to-Play, Heavy, Arc,A > Strong,PvE,World loot pool, No, Free-to-Play,Season 23,Heavy,Heavy,Arc,No,Top-tier,A › Strong
,Cry Mutiny,Grenade Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Solar,C > Weak,-,Exotic Kiosk, No, Free-to-Play,Season 18,Heavy,Heavy,Solar,No,,C › Weak
,Cryosthesia 77K,Sidearm,Exotic,Exotic,Beyond Light Pack, Primary, Stasis,B > Average,PvE,Exotic Kiosk, No, Beyond Light Pack,Season 14,Kinetic,Primary,Stasis,No,,B › Average
,Cynosure,Rocket Launcher,,Legendary,Free-to-Play, Heavy, Strand,A > Strong,PvE,Playlist: Vanguard, No, Free-to-Play,Episode 3,Heavy,Heavy,Strand,No,Top-tier,A › Strong
,D.A.R.C.I.,Sniper Rifle,Exotic,Exotic,Free-to-Play, Heavy, Arc,A > Strong,PvE,Exotic Engram, No, Free-to-Play,Season 1,Heavy,Heavy,Arc,No,Top-tier,A › Strong
,D.F.A.,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,-,Nightfall: The Ordeals, No, Free-to-Play,Season 17,Kinetic,Primary,Kinetic,No,,D › Worst
,Dark Decider,Auto Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Arc,B > Average,PvE,Iron Banner, No, Free-to-Play,Season 19,Energy,Primary,Arc,No,,B › Average
,Darkest Before,Pulse Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Solar,B > Average,PvP,Prophecy Dungeon, No, Free-to-Play,Season 23,Energy,Primary,Solar,No,,B › Average
,Dead Man's Tale,Scout Rifle,Exotic,Exotic,Beyond Light Pack, Primary, Kinetic,B > Average,PvP,Presage, Yes, Beyond Light Pack,Season 13,Kinetic,Primary,Kinetic,Craftable,,B › Average
,Dead Messenger,Grenade Launcher,Exotic,Exotic,The Witch Queen, Special, Void,B > Average,PvE,Vox Obscura, Yes, Witch Queen,Season 16,Energy,Special,Void,Craftable,,B › Average
,Dead Weight,Shotgun,Rapid-Fire,Legendary,Free-to-Play, Special, Arc,A > Strong,PvE,Playlist: Gambit, No, Free-to-Play,Season 17,Energy,Special,Arc,No,Top-tier,A › Strong
,Deadlock,Shotgun,Precision,Legendary,Free-to-Play, Special, Stasis,S > Best,PvP,Crucible Competitive, No, Free-to-Play,Episode 2,Kinetic,Special,Stasis,No,Top-tier,S › Best
,Deadpan Delivery,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Arc,C > Weak,-,Recovered Red War, No, Free-to-Play,Season 22,Energy,Special,Arc,No,,C › Weak
,Deafening Whisper,Grenade Launcher,Wave,Legendary,Free-to-Play, Special, Void,A > Strong,PvE,World loot pool, No, Free-to-Play,Season 12,Energy,Special,Void,No,Top-tier,A › Strong
,Death Adder,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Solar,D > Worst,-,World loot pool, No, Free-to-Play,Season 11,Energy,Primary,Solar,No,,D › Worst
,Death's Razor,Sword,Vortex,Legendary,Free-to-Play, Heavy, Void,C > Weak,-,Engram Focusing, Yes, Free-to-Play,Season 20,Heavy,Heavy,Void,Craftable,,C › Weak
,Deathbringer,Rocket Launcher,Exotic,Exotic,Shadowkeep Pack, Heavy, Void,C > Weak,-,Exotic Quest, No, Shadowkeep Pack,Season 8,Heavy,Heavy,Void,No,,C › Weak
,Ded Gramarye IV,Shotgun,Lightweight,Legendary,Free-to-Play, Special, Arc,C > Weak,-,World loot pool, No, Free-to-Play,The Final Shape,Energy,Special,Arc,No,,C › Weak
,Defiance of Yasmin,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Kinetic,A > Strong,PvE + PvP,King's Fall Raid, Yes, Free-to-Play,Season 18,Kinetic,Special,Kinetic,Craftable,Top-tier,A › Strong
,Delicate Tomb,Fusion Rifle,Exotic,Exotic,The Witch Queen, Special, Arc,A > Strong,PvE,Exotic Kiosk, No, Witch Queen,Season 18,Energy,Special,Arc,No,Top-tier,A › Strong
,Deliverance,Fusion Rifle,Precision,Legendary,The Witch Queen, Special, Stasis,S > Best,PvE,Vow of the Disciple Raid, Yes, Witch Queen,Season 16,Kinetic,Special,Stasis,Craftable,Top-tier,S › Best
,Deterministic Chaos,Machine Gun,Exotic,Exotic,Lightfall, Heavy, Void,D > Worst,-,Exotic Quest, No, Lightfall,Season 20,Heavy,Heavy,Void,No,,D › Worst
,Devil's Ruin,Sidearm,Exotic,Exotic,Shadowkeep Pack, Primary, Solar,B > Average,PvE + PvP,Exotic Kiosk, No, Shadowkeep Pack,Season 9,Energy,Primary,Solar,No,,B › Average
,Different Times,Pulse Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Strand,A > Strong,PvE + PvP,Xûr, Yes, Free-to-Play,Season 21,Kinetic,Primary,Strand,Craftable,Top-tier,A › Strong
,Dimensional Hypotrochoid,Grenade Launcher,Wave,Legendary,Lightfall, Heavy, Stasis,B > Average,PvE,Neomuna, Yes, Lightfall,Season 20,Heavy,Heavy,Stasis,Craftable,,B › Average
,Dire Promise,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,World loot pool, No, Free-to-Play,Season 10,Kinetic,Primary,Kinetic,No,,C › Weak
,Disparity,Pulse Rifle,Aggressive Burst,Legendary,The Witch Queen, Primary, Stasis,A > Strong,PvE,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Kinetic,Primary,Stasis,Craftable,Top-tier,A › Strong
,Distant Tumulus,Sniper Rifle,Rapid-Fire,Legendary,Free-to-Play, Special, Solar,C > Weak,-,Xûr, No, Free-to-Play,Season 10,Energy,Special,Solar,No,,C › Weak
,Divinity,Trace Rifle,Exotic,Exotic,Shadowkeep Pack, Special, Arc,S > Best,PvE,Exotic Quest, No, Shadowkeep Pack,Season 8,Energy,Special,Arc,No,Top-tier,S › Best
,Division,Sidearm,Heavy Burst,Legendary,Episode 3: Heretic, Primary, Arc,A > Strong,PvE + PvP,Heresy Activities, No, Episode 3: Heretic,Episode 3,Energy,Primary,Arc,No,Top-tier,A › Strong
,Doom of Chelchis,Scout Rifle,Precision,Legendary,Free-to-Play, Primary, Void,A > Strong,PvE,King's Fall Raid, Yes, Free-to-Play,Season 18,Energy,Primary,Void,Craftable,Top-tier,A › Strong
,Doomed Petitioner,Linear Fusion Rifle,Aggressive,Legendary,Lightfall, Heavy, Void,S > Best,PvE,Starcrossed, Yes, Lightfall,Season 23,Heavy,Heavy,Void,Craftable,Top-tier,S › Best
,Doomed Petitioner,Linear Fusion Rifle,Aggressive,Legendary,Lightfall, Heavy, Void,S > Best,PvE,Starcrossed, Yes, Lightfall,Season 23,Heavy,Heavy,Void,Craftable,Top-tier,S › Best
,Double-Edged Answer,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Void,A > Strong,PvE,Playlist: Vanguard, No, Free-to-Play,Season 23,Heavy,Heavy,Void,No,Top-tier,A › Strong
,Dragon's Breath,Rocket Launcher,Exotic,Exotic,Free-to-Play, Heavy, Solar,A > Strong,PvE,Season Pass, No, Free-to-Play,Season 23,Heavy,Heavy,Solar,No,Top-tier,A › Strong
,Dragoncult Sickle,Sword,Caster,Legendary,Lightfall Dungeon Key, Heavy, Strand,D > Worst,-,Warlord's Ruin Dungeon, No, Lightfall Dungeon Key,Season 23,Heavy,Heavy,Strand,No,,D › Worst
,Drang,Sidearm,Adaptive,Legendary,Free-to-Play, Primary, Solar,A > Strong,-,Gunsmith, No, Free-to-Play,Season 12,Energy,Primary,Solar,No,Top-tier,A › Strong
,Drang (Baroque),Sidearm,Together Forever,Legendary,Beyond Light Pack, Primary, Solar,S > Best,PvE + PvP,Presage, Yes, Beyond Light Pack,Season 17,Energy,Primary,Solar,Craftable,Top-tier,S › Best
,Dream Breaker,Fusion Rifle,Adaptive,Legendary,Free-to-Play, Special, Solar,C > Weak,-,Moon, No, Free-to-Play,Season 14,Energy,Special,Solar,No,,C › Weak
,Duality,Shotgun,Exotic,Exotic,Beyond Light Pack, Special, Solar,S > Best,PvP,Exotic Kiosk, No, Beyond Light Pack,Season 12,Energy,Special,Solar,No,Top-tier,S › Best
,Duty Bound,Auto Rifle,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvE,Nightfall: The Ordeals, No, Free-to-Play,Season 16,Kinetic,Primary,Kinetic,No,,B › Average
,Ecliptic Distaff,Glaive,Adaptive,Legendary,Free-to-Play, Special, Void,A > Strong,PvE,Playlist: Pursuit, No, Free-to-Play,Season 20,Energy,Special,Void,No,Top-tier,A › Strong
,Edge Transit,Grenade Launcher,Adaptive,Legendary,Free-to-Play, Heavy, Void,S > Best,PvE,Onslaught Activity, No, Free-to-Play,Into the Light,Heavy,Heavy,Void,No,Top-tier,S › Best
,Edge of Action,Glaive,Exotic,Exotic,The Witch Queen, Special, Void,B > Average,-,Exotic Quest, Yes, Witch Queen,Season 16,Energy,Special,Void,Craftable,,B › Average
,Edge of Concurrence,Glaive,Exotic,Exotic,The Witch Queen, Special, Arc,C > Weak,-,Exotic Quest, Yes, Witch Queen,Season 16,Energy,Special,Arc,Craftable,,C › Weak
,Edge of Intent,Glaive,Exotic,Exotic,The Witch Queen, Special, Solar,B > Average,-,Exotic Quest, Yes, Witch Queen,Season 16,Energy,Special,Solar,Craftable,,B › Average
,Eidolon Ally,Auto Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Crota's End Raid, No, Free-to-Play,Season 22,Kinetic,Primary,Kinetic,No,,C › Weak
,Eleatic Principle,Machine Gun,Rapid-Fire,Legendary,Free-to-Play, Heavy, Arc,C > Weak,-,Xûr, Yes, Free-to-Play,Season 22,Heavy,Heavy,Arc,Craftable,,C › Weak
,Elsie's Rifle,Pulse Rifle,High-Impact,Legendary,Free-to-Play, Primary, Void,S > Best,PvP,Onslaught Activity, No, Free-to-Play,Into the Light,Energy,Primary,Void,No,Top-tier,S › Best
,Embraced Identity,Sniper Rifle,Adaptive,Legendary,The Final Shape, Special, Void,A > Strong,PvE + PvP,The Pale Heart, Yes, The Final Shape,The Final Shape,Energy,Special,Void,Craftable,Top-tier,A › Strong
,Empirical Evidence,Sidearm,Aggressive Burst,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvE,Throne World, Yes, Free-to-Play,Season 16,Kinetic,Primary,Kinetic,Craftable,,B › Average
,Empty Vessel,Grenade Launcher,Lightweight,Legendary,Free-to-Play, Special, Solar,A > Strong,PvE,Vanguard Focusing, No, Free-to-Play,Season 14,Energy,Special,Solar,No,Top-tier,A › Strong
,Enigma's Draw,Sidearm,Precision,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,-,World loot pool, No, Free-to-Play,Season 10,Kinetic,Primary,Kinetic,No,,D › Worst
,Enyo-D,Submachine Gun,Precision,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,-,Gunsmith, No, Free-to-Play,Season 17,Kinetic,Primary,Kinetic,No,,D › Worst
,Epochal Integration,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Solar,B > Average,PvE + PvP,Seasonal activity, No, Free-to-Play,Season 21,Energy,Primary,Solar,No,,B › Average
,Ergo Sum,Sword,Exotic,Exotic,The Final Shape, Special, Kinetic,S > Best,PvE,The Pale Heart, No, The Final Shape,The Final Shape,Energy,Special,Kinetic,No,Top-tier,S › Best
,Eriana's Vow,Hand Cannon,Exotic,Exotic,Shadowkeep Pack, Special, Solar,B > Average,PvE,Exotic Kiosk, No, Shadowkeep Pack,Season 8,Energy,Special,Solar,No,,B › Average
,Escape Velocity,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,-,World loot pool, No, Free-to-Play,Season 10,Kinetic,Primary,Kinetic,No,,D › Worst
,Eternal Blazon,Scout Rifle,Lightweight,Legendary,Free-to-Play, Primary, Arc,D > Worst,-,World loot pool, No, Free-to-Play,Season 13,Energy,Primary,Arc,No,,D › Worst
,Eternity's Edge,Sword,Vortex,Legendary,Free-to-Play, Heavy, Solar,C > Weak,-,World loot pool, No, Free-to-Play,Season 14,Heavy,Heavy,Solar,No,,C › Weak
,Euphony,Linear Fusion Rifle,Exotic,Exotic,The Final Shape, Special, Strand,A > Strong,PvE,Salvation's Edge Raid, No, The Final Shape,The Final Shape,Kinetic,Special,Strand,No,Top-tier,A › Strong
,Euphony,Linear Fusion Rifle,Exotic,Exotic,The Final Shape, Special, Strand,A > Strong,PvE,Salvation's Edge Raid, No, The Final Shape,The Final Shape,Kinetic,Special,Strand,No,Top-tier,A › Strong
,Every Waking Moment,Submachine Gun,Precision,Legendary,Free-to-Play, Primary, Void,C > Weak,-,Moon, No, Free-to-Play,Season 14,Energy,Primary,Void,No,,C › Weak
,Ex Diris,Grenade Launcher,Exotic,Exotic,Free-to-Play, Special, Arc,A > Strong,-,Exotic Kiosk, No, Free-to-Play,Season 22,Energy,Special,Arc,No,Top-tier,A › Strong
,Exalted Truth,Hand Cannon,Adaptive,Legendary,The Final Shape, Primary, Void,S > Best,PvE + PvP,Trials of Osiris, No, The Final Shape,Season 19,Energy,Primary,Void,No,Top-tier,S › Best
,Exile's Curse,Fusion Rifle,High-Impact,Legendary,The Final Shape, Special, Arc,B > Average,PvP,Trials of Osiris, No, The Final Shape,Season 10,Energy,Special,Arc,No,,B › Average
,Explosive Personality,Grenade Launcher,Wave,Legendary,The Witch Queen, Special, Solar,A > Strong,PvE,Vox Obscura, Yes, Witch Queen,Season 16,Energy,Special,Solar,Craftable,Top-tier,A › Strong
,Extraordinary Rendition,Submachine Gun,Aggressive,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,-,World loot pool, No, Free-to-Play,Season 13,Kinetic,Primary,Kinetic,No,,D › Worst
,Exuviae,Hand Cannon,Aggressive,Legendary,Episode 2: Revenant, Primary, Stasis,B > Average,PvE,Revenant Activities, No, Episode 2: Revenant,Episode 2,Kinetic,Primary,Stasis,No,,B › Average
,Eyasluna,Hand Cannon,Adaptive,Legendary,30th Anniversary, Primary, Stasis,B > Average,PvE + PvP,Grasp of Avarice Dungeon, No, 30th Anniversary,30th Anniversary event,Kinetic,Primary,Stasis,No,,B › Average
,Eye of Sol,Sniper Rifle,Adaptive,Legendary,The Final Shape, Special, Kinetic,S > Best,PvP,Trials of Osiris, No, The Final Shape,Season 10,Kinetic,Special,Kinetic,No,Top-tier,S › Best
,Eyes Unveiled,Linear Fusion Rifle,Precision,Legendary,Episode 3: Heretic, Heavy, Void,B > Average,PvP,Heresy Activities, No, Episode 3: Heretic,Episode 3,Heavy,Heavy,Void,No,,B › Average
,Eyes Unveiled,Linear Fusion Rifle,Precision,Legendary,Episode 3: Heretic, Heavy, Void,B > Average,PvP,Heresy Activities, No, Episode 3: Heretic,Episode 3,Heavy,Heavy,Void,No,,B › Average
,Eyes of Tomorrow,Rocket Launcher,Exotic,Exotic,Beyond Light Pack, Heavy, Solar,C > Weak,-,Deep Stone Crypt Raid, No, Beyond Light Pack,Season 12,Heavy,Heavy,Solar,No,,C › Weak
,Fair Judgment,Auto Rifle,Precision,Legendary,Free-to-Play, Primary, Stasis,A > Strong,PvE + PvP,Playlist: Pursuit, No, Free-to-Play,Episode 2,Kinetic,Primary,Stasis,No,Top-tier,A › Strong
,Faith-Keeper,Rocket Launcher,Precision,Legendary,Episode 1: Echoes, Heavy, Void,C > Weak,-,Echoes Activities, Yes, Episode 1: Echoes,The Final Shape,Heavy,Heavy,Void,Craftable,,C › Weak
,Falling Guillotine (Brave),Sword,Vortex,Legendary,Free-to-Play, Heavy, Void,S > Best,PvE,Onslaught Activity, No, Free-to-Play,Into the Light,Heavy,Heavy,Void,No,Top-tier,S › Best
,False Idols,Sword,Vortex,Legendary,The Final Shape, Heavy, Solar,B > Average,PvE,The Pale Heart, Yes, The Final Shape,The Final Shape,Heavy,Heavy,Solar,Craftable,,B › Average
,False Promises,Auto Rifle,High-Impact,Legendary,Free-to-Play, Primary, Kinetic,A > Strong,PvE + PvP,Arrivals Engrams, No, Free-to-Play,Episode 3,Kinetic,Primary,Kinetic,No,Top-tier,A › Strong
,Fang of Ir Yût,Scout Rifle,Rapid-Fire,Legendary,Free-to-Play, Primary, Strand,S > Best,PvE,Crota's End Raid, Yes, Free-to-Play,Season 22,Kinetic,Primary,Strand,Craftable,Top-tier,S › Best
,Far Future,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Solar,D > Worst,-,World loot pool, No, Free-to-Play,Season 13,Energy,Special,Solar,No,,D › Worst
,Farewell,Sidearm,Lightweight,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,World loot pool, No, Free-to-Play,Season 14,Kinetic,Primary,Kinetic,No,,C › Weak
,Fatebringer,Hand Cannon,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,S > Best,PvE + PvP,Vault of Glass Raid, Yes, Free-to-Play,Episode 3,Kinetic,Primary,Kinetic,Craftable,Top-tier,S › Best
,Father's Sins,Sniper Rifle,Rapid-Fire,Legendary,The Witch Queen, Special, Void,B > Average,PvP,Wellspring, Yes, Witch Queen,Season 16,Energy,Special,Void,Craftable,,B › Average
,Fel Taradiddle,Combat Bow,Lightweight,Legendary,Free-to-Play, Primary, Kinetic,B > Average,PvE,Wellspring, Yes, Free-to-Play,Season 16,Kinetic,Primary,Kinetic,Craftable,,B › Average
,Felwinter's Lie,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Solar,A > Strong,PvP,Exotic Kiosk, No, Free-to-Play,Season 10,Energy,Special,Solar,No,Top-tier,A › Strong
,Final Warning,Sidearm,Exotic,Exotic,Lightfall, Primary, Strand,B > Average,PvE + PvP,Exotic Quest, No, Lightfall,Season 20,Kinetic,Primary,Strand,No,,B › Average
,Finality's Auger,Linear Fusion Rifle,Exotic,Exotic,The Final Shape Dungeon Key, Heavy, Solar,B > Average,PvE,Sundered Doctrine Dungon, No, The Final Shape Dungeon Key,Episode 3,Heavy,Heavy,Solar,No,,B › Average
,Finality's Auger,Linear Fusion Rifle,Exotic,Exotic,The Final Shape Dungeon Key, Heavy, Solar,B > Average,PvE,Sundered Doctrine Dungon, No, The Final Shape Dungeon Key,Episode 3,Heavy,Heavy,Solar,No,,B › Average
,Finite Impactor,Hand Cannon,Aggressive,Legendary,Free-to-Play, Primary, Arc,D > Worst,-,Iron Banner, No, Free-to-Play,Season 14,Energy,Primary,Arc,No,,D › Worst
,Fioritura-59,Sidearm,Rapid-Fire,Legendary,Free-to-Play, Primary, Void,B > Average,PvE + PvP,Gunsmith, No, Free-to-Play,Season 19,Energy,Primary,Void,No,,B › Average
,Fire and Forget,Linear Fusion Rifle,Aggressive,Legendary,The Witch Queen, Heavy, Stasis,C > Weak,-,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Heavy,Heavy,Stasis,Craftable,,C › Weak
,Fire and Forget,Linear Fusion Rifle,Aggressive,Legendary,The Witch Queen, Heavy, Stasis,C > Weak,-,Operation: Seraph's Shield, Yes, Witch Queen,Season 19,Heavy,Heavy,Stasis,Craftable,,C › Weak
,Firefright,Auto Rifle,Precision,Legendary,Beyond Light Pack, Primary, Kinetic,C > Weak,-,Presage, Yes, Beyond Light Pack,Season 17,Kinetic,Primary,Kinetic,Craftable,,C › Weak
,"First In, Last Out",Shotgun,Pinpoint Slug,Legendary,Free-to-Play, Special, Arc,C > Weak,PvE,World loot pool, No, Free-to-Play,Season 11,Energy,Special,Arc,No,,C › Weak
,Fixed Odds,Machine Gun,High-Impact,Legendary,Witch Queen Dungeon Key, Heavy, Solar,B > Average,PvE,Duality Dungeon, Yes, Episode 3: Heretic,Season 17,Heavy,Heavy,Solar,Craftable,,B › Average
,Forbearance,Grenade Launcher,Wave,Legendary,The Witch Queen, Special, Arc,S > Best,PvE,Vow of the Disciple Raid, Yes, Witch Queen,Season 16,Energy,Special,Arc,Craftable,Top-tier,S › Best
,Forbearance (Brave),Grenade Launcher,Wave,Legendary,Free-to-Play, Special, Arc,S > Best,PvE,Onslaught Activity, No, Free-to-Play,Into the Light,Energy,Special,Arc,No,Top-tier,S › Best
,Forensic Nightmare,Submachine Gun,Precision,Legendary,Free-to-Play, Primary, Stasis,D > Worst,-,Throne World, Yes, Free-to-Play,Season 16,Kinetic,Primary,Stasis,Craftable,,D › Worst
,Forerunner,Sidearm,Exotic,Exotic,Free-to-Play, Special, Kinetic,A > Strong,PvE + PvP,Exotic Quest, No, Free-to-Play,30th Anniversary event,Kinetic,Special,Kinetic,No,Top-tier,A › Strong
,Forge's Pledge,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Solar,C > Weak,-,Iron Banner, No, Free-to-Play,Season 15,Energy,Primary,Solar,No,,C › Weak
,Forgiveness,Sidearm,Aggressive Burst,Legendary,The Final Shape, Primary, Arc,A > Strong,PvE + PvP,Trials of Osiris, No, The Final Shape,Season 17,Energy,Primary,Arc,No,Top-tier,A › Strong
,Forthcoming Deviance,Glaive,Rapid-Fire,Legendary,The Final Shape, Special, Void,A > Strong,PvE,Salvation's Edge Raid, Yes, The Final Shape,The Final Shape,Energy,Special,Void,Craftable,Top-tier,A › Strong
,Fortissimo-11,Shotgun,Pinpoint Slug,Legendary,Free-to-Play, Special, Kinetic,B > Average,PvE + PvP,Vanguard Focusing, No, Free-to-Play,Season 16,Kinetic,Special,Kinetic,No,,B › Average
,Fortunate Star,Combat Bow,Lightweight,Legendary,Free-to-Play, Primary, Void,A > Strong,PvE,Event: Solstice, No, Free-to-Play,The Final Shape,Energy,Primary,Void,No,Top-tier,A › Strong
,Found Verdict,Shotgun,Aggressive,Legendary,Free-to-Play, Special, Arc,B > Average,PvP,Vault of Glass Raid, Yes, Free-to-Play,Episode 3,Energy,Special,Arc,Craftable,,B › Average
,Fractethyst,Shotgun,Precision,Legendary,Free-to-Play, Special, Stasis,A > Strong,PvP,Xûr, No, Free-to-Play,Season 15,Kinetic,Special,Stasis,No,Top-tier,A › Strong
,Friction Fire,Submachine Gun,Precision,Legendary,Free-to-Play, Primary, Kinetic,D > Worst,-,World loot pool, No, Free-to-Play,Season 12,Kinetic,Primary,Kinetic,No,,D › Worst
,Frontier's Cry,Hand Cannon,Precision,Legendary,Free-to-Play, Primary, Solar,D > Worst,-,Iron Banner, No, Free-to-Play,Season 16,Energy,Primary,Solar,No,,D › Worst
,Frozen Orbit,Sniper Rifle,Aggressive,Legendary,Free-to-Play, Special, Void,B > Average,PvP,Playlist: Crucible, No, Free-to-Play,Season 13,Energy,Special,Void,No,,B › Average
,Fugue-55,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Void,D > Worst,-,Gunsmith, No, Free-to-Play,Season 16,Energy,Special,Void,No,,D › Worst
,Funnelweb,Submachine Gun,Lightweight,Legendary,Free-to-Play, Primary, Void,C > Weak,-,Gunsmith, No, Free-to-Play,Season 16,Energy,Primary,Void,No,,C › Weak
,Gallu RR3,Sniper Rifle,Adaptive,Legendary,Free-to-Play, Special, Arc,C > Weak,-,Gunsmith, No, Free-to-Play,Season 17,Energy,Special,Arc,No,,C › Weak
,Geodetic HSm,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Void,B > Average,-,Lost Sector, No, Free-to-Play,Season 22,Heavy,Heavy,Void,No,,B › Average
,Gjallarhorn,Rocket Launcher,Exotic,Exotic,30th Anniversary, Heavy, Solar,S > Best,PvE + PvP,Grasp of Avarice Dungeon, No, 30th Anniversary,30th Anniversary event,Heavy,Heavy,Solar,No,Top-tier,S › Best
,Glacioclasm,Fusion Rifle,High-Impact,Legendary,Free-to-Play, Special, Void,A > Strong,PvE,Event: Dawning, No, Free-to-Play,Season 12,Energy,Special,Void,No,Top-tier,A › Strong
,Glissando-47,Scout Rifle,Precision,Legendary,Free-to-Play, Primary, Strand,C > Weak,PvE,Lost Sector, No, Free-to-Play,Season 21,Kinetic,Primary,Strand,No,,C › Weak
,Gnawing Hunger,Auto Rifle,Adaptive,Legendary,Free-to-Play, Primary, Void,A > Strong,PvE + PvP,Drifter Focusing, No, Free-to-Play,Season 11,Energy,Primary,Void,No,Top-tier,A › Strong
,Goldtusk,Sword,Lightweight,Legendary,Free-to-Play, Heavy, Arc,C > Weak,-,Engram Focusing, Yes, Free-to-Play,Season 20,Heavy,Heavy,Arc,Craftable,,C › Weak
,Grand Overture,Machine Gun,Exotic,Exotic,The Witch Queen, Heavy, Arc,A > Strong,PvE,Exotic Kiosk, No, Witch Queen,Season 16,Heavy,Heavy,Arc,No,Top-tier,A › Strong
,Graviton Lance,Pulse Rifle,Exotic,Exotic,Free-to-Play, Primary, Void,S > Best,PvE,Exotic Engram, No, Free-to-Play,Season 1,Energy,Primary,Void,No,Top-tier,S › Best
,Greasy Luck,Glaive,Rapid-Fire,Legendary,Free-to-Play, Special, Solar,A > Strong,PvE,Ghost of the Deep Dungeon, No, Free-to-Play,Season 21,Energy,Special,Solar,No,Top-tier,A › Strong
,Gridskipper,Pulse Rifle,Rapid-Fire,Legendary,Episode 2: Revenant, Primary, Void,B > Average,PvP,Splicer Engrams, No, Episode 2: Revenant,Episode 2,Energy,Primary,Void,No,,B › Average
,Gunnora's Axe,Shotgun,Pinpoint Slug,Legendary,Free-to-Play, Special, Arc,B > Average,PvE + PvP,Iron Banner, No, Free-to-Play,Season 19,Energy,Special,Arc,No,,B › Average
,Hailing Confusion,Pulse Rifle,Adaptive,Legendary,Free-to-Play, Primary, Kinetic,C > Weak,-,Europa, No, Free-to-Play,Season 12,Kinetic,Primary,Kinetic,No,,C › Weak
,Half-Truths,Sword,Adaptive,Legendary,Free-to-Play, Heavy, Arc,C > Weak,-,Dares of Eternity, Yes, Free-to-Play,30th Anniversary event,Heavy,Heavy,Arc,Craftable,,C › Weak
